Start	Type	Duration
2015-07-09T21:50:26.666	right-LM	0.924
2015-07-09T21:50:28.246	right-LM	4.024
2015-07-09T21:50:33.832	right-LM	5.958
2015-07-09T21:50:41.608	right-LM	2.98
2015-07-09T21:53:43.814	right-LM	11.856
2015-07-09T21:53:56.354	right-LM	28.794
2015-07-09T21:54:26.396	right-LM	6.904
2015-07-09T21:59:01.342	right-LM	29.462
2015-07-09T21:59:31.676	right-LM	4.744
2015-07-09T22:03:57.414	right-LM	8.236
2015-07-09T22:04:10.804	right-LM	1.83
2015-07-09T22:04:13.878	right-LM	15.094
2015-07-09T22:07:43.848	right-LM	1.456
2015-07-09T22:10:11.344	right-LM	3.142
2015-07-09T23:00:42.474	right-LM	6.97
2015-07-09T23:19:55.228	right-LM	8.852
2015-07-09T23:33:01.868	right-LM	28.7
2015-07-09T23:33:36.840	right-LM	5.738
2015-07-09T23:33:53.292	right-LM	13.116
2015-07-09T23:34:34.958	right-LM	4.156
2015-07-09T23:41:47.418	right-LM	16.514
2015-07-09T23:42:08.140	right-LM	3.572
2015-07-09T23:42:14.900	right-LM	2.626
2015-07-10T00:47:30.734	right-LM	7.426
2015-07-10T00:47:51.206	right-LM	15.88
2015-07-10T00:53:36.132	right-LM	19.86
2015-07-10T00:58:19.834	right-LM	1.454
2015-07-10T01:00:43.260	right-LM	20.102
2015-07-10T01:02:23.132	right-LM	2.458
2015-07-10T01:05:34.892	right-LM	1.89
2015-07-10T01:06:12.710	right-LM	1.47
2015-07-10T01:07:00.352	right-LM	1.952
2015-07-10T01:07:41.334	right-LM	4.15
2015-07-10T01:07:47.806	right-LM	12.044
2015-07-10T01:09:52.108	right-LM	2.046
2015-07-10T01:10:26.588	right-LM	1.294
2015-07-10T01:12:13.186	right-LM	4.878
2015-07-10T01:12:59.840	right-LM	2.254
2015-07-10T01:13:36.872	right-LM	2.14
2015-07-10T01:15:31.280	right-LM	1.608
2015-07-10T01:16:31.232	right-LM	2.204
2015-07-10T01:17:13.942	right-LM	2.358
2015-07-10T01:17:41.636	right-LM	2.954
2015-07-10T01:18:40.854	right-LM	3.308
2015-07-10T01:20:25.690	right-LM	4.312
2015-07-10T01:21:03.730	right-LM	3.994
2015-07-10T01:21:46.726	right-LM	2.886
2015-07-10T01:25:20.512	right-LM	1.666
2015-07-10T01:29:18.672	right-LM	2.494
2015-07-10T01:30:07.922	right-LM	2.356
2015-07-10T01:43:40.486	right-LM	2.232
2015-07-10T02:08:58.036	right-LM	25.212
2015-07-10T02:09:34.710	right-LM	9.494
2015-07-10T02:09:47.652	right-LM	1.596
2015-07-10T02:10:28.648	right-LM	10.222
2015-07-10T02:13:21.346	right-LM	14.14
2015-07-10T02:14:42.588	right-LM	2.788
2015-07-10T02:20:35.986	right-LM	15.454
2015-07-10T03:12:59.636	right-LM	18.934
2015-07-10T03:54:45.504	right-LM	5.908
2015-07-10T04:14:21.472	right-LM	16.49
2015-07-10T04:25:26.468	right-LM	11.812
2015-07-10T04:49:14.978	right-LM	21.202
2015-07-10T05:03:38.336	right-LM	0.67
2015-07-10T05:06:35.390	right-LM	8.462
2015-07-10T05:06:45.254	right-LM	4.44
2015-07-10T05:09:06.210	right-LM	3.442
2015-07-10T05:29:30.202	right-LM	16.916
2015-07-10T05:30:01.154	right-LM	4.436
2015-07-10T05:41:41.642	right-LM	7.182
2015-07-10T05:43:27.706	right-LM	14.47
2015-07-10T05:48:04.998	right-LM	14.658
2015-07-09T21:50:26.950	left-LM	7.646
2015-07-09T21:50:35.924	left-LM	2.476
2015-07-09T21:50:41.088	left-LM	1.032
2015-07-09T21:50:42.970	left-LM	0.514
2015-07-09T21:50:44.500	left-LM	1.13
2015-07-09T21:50:46.382	left-LM	2.79
2015-07-09T21:50:49.778	left-LM	1.81
2015-07-09T21:50:55.164	left-LM	0.854
2015-07-09T21:50:58.476	left-LM	29.702
2015-07-09T21:53:07.812	left-LM	29.454
2015-07-09T21:53:39.278	left-LM	0.772
2015-07-09T21:53:40.866	left-LM	1.392
2015-07-09T21:53:43.942	left-LM	48.468
2015-07-09T21:54:34.264	left-LM	9.972
2015-07-09T21:59:02.166	left-LM	21.19
2015-07-09T21:59:28.076	left-LM	1.78
2015-07-09T22:00:41.284	left-LM	3.588
2015-07-09T22:02:53.278	left-LM	1.934
2015-07-09T22:03:57.762	left-LM	1.326
2015-07-09T22:04:05.340	left-LM	0.594
2015-07-09T22:04:11.032	left-LM	0.802
2015-07-09T22:04:13.024	left-LM	8.792
2015-07-09T22:07:40.778	left-LM	2.962
2015-07-09T22:38:58.800	left-LM	14.704
2015-07-09T23:00:42.466	left-LM	7.002
2015-07-09T23:10:07.388	left-LM	3.086
2015-07-09T23:19:53.568	left-LM	1.666
2015-07-09T23:26:01.184	left-LM	3.324
2015-07-09T23:31:27.592	left-LM	2.888
2015-07-09T23:32:59.860	left-LM	29.71
2015-07-09T23:33:36.362	left-LM	29.182
2015-07-09T23:41:34.534	left-LM	4.5
2015-07-09T23:41:44.148	left-LM	20.472
